sciname,seqnumber,total_sample,sample_with,len_sample_with
Escherichia coli O157:H7,"seq 1, seq 3, seq 540",30,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}",30
Bacteroides uniformis,"seq 8, seq 17, seq 161, seq 502, seq 550",30,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}",30
Bacteroides vulgatus,"seq 4, seq 5, seq 504, seq 538",30,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}",30
Bacteroides ovatus,"seq 19, seq 36, seq 501",30,"{0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}",28
Faecalibacterium prausnitzii A2-165,"seq 11, seq 29, seq 491",30,"{0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}",27
Blautia sp. SC05B48,"seq 39, seq 154",30,"{0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29}",26
Flavonifractor plautii,"seq 163, seq 217",30,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28}",25
Bifidobacterium longum,"seq 34, seq 145",30,"{0, 1, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28}",24
Dysosmobacter welbionis,"seq 167, seq 242",30,"{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 22, 25, 26, 27, 29}",23
Akkermansia muciniphila,"seq 18, seq 50, seq 232",30,"{0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 29}",23
Alistipes sp. 3BBH6,"seq 56, seq 205",30,"{0, 1, 4, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 26, 28}",21
