sciname,seqnumber,total_sample,sample_with,len_sample_with
Bacteroides ovatus,"seq 12, seq 27",30,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}",30
Faecalibacterium prausnitzii A2-165,"seq 7, seq 18, seq 341, seq 350",30,"{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}",29
Bacteroides uniformis,"seq 10, seq 11, seq 398",30,"{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}",29
Escherichia coli O157:H7,"seq 1, seq 3, seq 171, seq 355, seq 358, seq 386, seq 445",30,"{0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29}",28
Bacteroides vulgatus,"seq 4, seq 5, seq 344, seq 363, seq 469, seq 487",30,"{0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}",28
Bacteroides dorei,"seq 6, seq 32, seq 502",30,"{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 28, 29}",27
Bacteroides thetaiotaomicron,"seq 16, seq 29",30,"{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 27, 28, 29}",27
Dysosmobacter welbionis,"seq 260, seq 361",30,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26, 27, 28, 29}",26
Parabacteroides distasonis,"seq 19, seq 47, seq 172, seq 496, seq 523",30,"{0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 23, 24, 26, 27, 28, 29}",26
Anaerostipes hadrus,"seq 234, seq 249",30,"{0, 1, 3, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29}",24
Akkermansia muciniphila,"seq 41, seq 200, seq 245, seq 303",30,"{1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 17, 18, 19, 21, 23, 24, 26, 27, 28, 29}",23
Romboutsia sp. CE17,"seq 223, seq 369",30,"{0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 26, 27, 28, 29}",23
Collinsella aerofaciens,"seq 206, seq 317",30,"{1, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 24, 26, 27, 28, 29}",23
Odoribacter splanchnicus,"seq 186, seq 221",30,"{0, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 28, 29}",23
Bifidobacterium longum,"seq 33, seq 164",30,"{0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 16, 18, 19, 20, 22, 23, 27, 28, 29}",22
Escherichia coli,"seq 22, seq 156, seq 183, seq 295, seq 321, seq 379, seq 431, seq 434, seq 448, seq 484, seq 500, seq 517",30,"{2, 3, 4, 6, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29}",22
Bacteroides caccae,"seq 54, seq 201",30,"{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 26, 28}",22
Streptococcus salivarius,"seq 148, seq 191",30,"{0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 14, 16, 17, 18, 19, 20, 22, 23, 27, 29}",21
Citrobacter sp.,"seq 20, seq 21, seq 476",30,"{1, 2, 3, 4, 6, 7, 9, 10, 14, 15, 17, 18, 19, 20, 21, 23, 25, 26, 27}",19
Roseburia intestinalis L1-82,"seq 159, seq 170",30,"{1, 2, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 22, 24, 26, 27, 29}",18
Bacteroides sartorii,"seq 15, seq 43",30,"{0, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 16, 17, 18, 24, 27, 29}",17
Streptococcus parasanguinis,"seq 207, seq 539",30,"{1, 2, 3, 4, 7, 8, 11, 15, 16, 17, 18, 19, 20, 22, 25, 27, 28}",17
Bacteroides sp. A1C1,"seq 55, seq 162, seq 505",30,"{3, 6, 7, 8, 12, 13, 16, 17, 18, 20, 23, 24, 25, 27, 28, 29}",16
Escherichia fergusonii,"seq 152, seq 430, seq 478",30,"{2, 3, 4, 6, 8, 9, 12, 14, 16, 17, 18, 19, 20, 21, 26}",15
Faecalibacterium prausnitzii,"seq 23, seq 368",30,"{1, 2, 3, 4, 5, 11, 12, 14, 15, 18, 20, 22, 23, 24, 25}",15
Blautia sp. SC05B48,seq 182,30,"{2, 3, 4, 5, 6, 11, 12, 14, 15, 18, 20, 22, 23, 24, 25}",15
Alistipes sp. 5CBH24,"seq 219, seq 288",30,"{2, 5, 9, 12, 15, 16, 17, 18, 20, 22, 24, 25, 27, 28}",14
Alistipes sp. 3BBH6,seq 48,30,"{1, 2, 3, 5, 11, 12, 14, 15, 18, 20, 23, 25}",12
Finegoldia magna,"seq 450, seq 473",30,"{0, 1, 5, 7, 12, 14, 16, 22, 23, 25, 26, 28}",12
Longibaculum sp. KGMB06250,seq 138,30,"{0, 7, 9, 10, 13, 16, 17, 19, 21, 28, 29}",11
Phascolarctobacterium faecium,seq 253,30,"{0, 7, 9, 10, 13, 17, 18, 19, 26, 27, 28}",11
Flavonifractor plautii,seq 480,30,"{1, 2, 3, 5, 12, 14, 18, 22, 23, 24, 25}",11
Clostridium bolteae,seq 385,30,"{1, 3, 6, 11, 12, 15, 18, 22, 24, 25}",10
Ruminococcus gnavus ATCC 29149,seq 490,30,"{1, 3, 5, 6, 12, 15, 22, 23, 24, 25}",10
Haemophilus parainfluenzae,seq 176,30,"{0, 7, 8, 9, 10, 13, 17, 27, 29}",9
Enterobacter ludwigii,seq 149,30,"{7, 8, 9, 10, 16, 17, 19, 21, 26}",9
Bacteroides stercoris,seq 46,30,"{0, 9, 10, 13, 16, 17, 21, 29}",8
Raoultella ornithinolytica,"seq 195, seq 204",30,"{3, 4, 6, 9, 18, 21, 26}",7
Enterococcus faecium,seq 276,30,"{7, 8, 16, 19, 21, 26, 28}",7
Intestinimonas butyriciproducens,seq 349,30,"{6, 11, 14, 15, 18, 24, 25}",7
Pseudomonas psychrophila,"seq 2, seq 167, seq 255, seq 360, seq 392",30,"{2, 20, 5, 23, 24, 14}",6
Bifidobacterium pseudocatenulatum,seq 437,30,"{0, 7, 10, 16, 17, 28}",6
Citrobacter sp. TSA-1,"seq 226, seq 457",30,"{18, 3, 4, 20, 6, 26}",6
Dialister invisus,seq 375,30,"{0, 9, 16, 21, 26, 27}",6
Erysipelatoclostridium ramosum,seq 483,30,"{8, 9, 10, 16, 27}",5
bacterium,seq 378,30,"{9, 16, 19, 21, 26}",5
Dialister sp. 5BBH33,seq 50,30,"{8, 26, 13, 7}",4
Clostridium scindens,seq 268,30,"{24, 1, 25, 15}",4
Pseudomonas syringae pv. actinidiae,seq 243,30,"{2, 20, 6, 23}",4
Blautia sp. N6H1-15,seq 274,30,"{8, 26, 27}",3
Veillonella sp.,seq 307,30,"{27, 19, 21}",3
Citrobacter sp. Y3,seq 421,30,"{20, 6, 14}",3
Pseudomonas fragi,"seq 63, seq 174, seq 181, seq 184, seq 205, seq 322, seq 352, seq 503, seq 514, seq 546",30,"{2, 20, 23}",3
