sciname,seqnumber,total_sample,sample_with,len_sample_with
Escherichia coli,"seq 1, seq 3, seq 77, seq 93, seq 132, seq 174, seq 190, seq 207, seq 247",17,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}",17
Faecalibacterium prausnitzii A2-165,"seq 7, seq 19, seq 119, seq 200",17,"{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}",16
Bacteroides ovatus,"seq 23, seq 69",17,"{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}",16
Blautia sp. SC05B48,"seq 52, seq 110",17,"{0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}",16
Bacteroides thetaiotaomicron,"seq 43, seq 107",17,"{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}",16
Bacteroides vulgatus,"seq 6, seq 10, seq 91",17,"{0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}",15
Bacteroides uniformis,"seq 21, seq 47, seq 138",17,"{0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}",15
Parabacteroides distasonis,"seq 38, seq 85, seq 256",17,"{0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}",15
Faecalibacterium prausnitzii,"seq 9, seq 130, seq 154",17,"{2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16}",14
Bacteroides dorei,"seq 13, seq 105, seq 145, seq 251",17,"{0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}",14
Bacteroides caccae,"seq 49, seq 111",17,"{0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16}",14
Longibaculum sp. KGMB06250,"seq 48, seq 59",17,"{2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16}",13
Romboutsia sp. CE17,"seq 143, seq 236",17,"{0, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 15, 16}",13
Bifidobacterium longum,"seq 33, seq 92",17,"{0, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16}",13
Roseburia intestinalis L1-82,"seq 83, seq 252",17,"{0, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16}",12
Alistipes sp. 3BBH6,"seq 78, seq 244",17,"{0, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16}",12
Collinsella aerofaciens,"seq 220, seq 246",17,"{0, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16}",12
Enterobacter ludwigii,"seq 2, seq 150",17,"{2, 4, 6, 8, 9, 10, 11, 12, 14, 15}",10
Bacteroides stercoris,"seq 16, seq 26, seq 142",17,"{0, 2, 4, 5, 7, 10, 11, 12, 13, 14}",10
Escherichia fergusonii,"seq 14, seq 68",17,"{2, 3, 4, 8, 9, 11, 12, 14, 15, 16}",10
Phascolarctobacterium faecium,"seq 66, seq 100",17,"{0, 7, 8, 9, 10, 11, 12, 13, 15}",9
Pseudomonas psychrophila,"seq 71, seq 201",17,"{2, 6, 7, 8, 9, 11, 12, 14, 15}",9
Bacteroides sartorii,"seq 32, seq 187",17,"{0, 1, 5, 10, 11, 12, 13, 14, 15}",9
Alistipes sp. 5CBH24,seq 193,17,"{0, 2, 4, 8, 9, 10, 12, 14}",8
Odoribacter splanchnicus,seq 178,17,"{0, 4, 8, 9, 10, 11, 12, 14}",8
Anaerostipes hadrus,seq 116,17,"{0, 4, 8, 10, 11, 12, 14}",7
Lactococcus taiwanensis,"seq 125, seq 224",17,"{1, 4, 11, 12, 13, 14, 15}",7
Akkermansia muciniphila,seq 151,17,"{2, 10, 11, 12, 14}",5
Dysosmobacter welbionis,seq 215,17,"{0, 4, 10, 12, 14}",5
Bifidobacterium pseudocatenulatum,seq 67,17,"{0, 8, 10, 11, 12}",5
Klebsiella michiganensis,seq 99,17,"{2, 8, 9, 11, 14}",5
Enterococcus faecium,seq 40,17,"{16, 15, 6, 7}",4
Dialister invisus,seq 29,17,"{16, 5, 6, 15}",4
Citrobacter freundii,"seq 101, seq 191",17,"{16, 6, 15}",3
Ruminococcus gnavus ATCC 29149,seq 61,17,"{0, 10, 12}",3
Lactobacillus paracasei,seq 183,17,"{12, 14}",2
Megamonas funiformis,seq 196,17,"{11, 12}",2
Acinetobacter sp.,"seq 63, seq 90",17,"{8, 14}",2
Bacillus megaterium,seq 149,17,{7},1
