header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR4019216.1733 10317.000094722_1732 length=151 number of reps 109091	ERR4019216.1733	MT416449.1	100.0	1.7899999999999994e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR1597017.6516 10317.000033260_6515 length=150 number of reps 44858	ERR1597017.6516	MT416449.1	100.0	6.369999999999999e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR4019216.17753 10317.000094722_17752 length=151 number of reps 17191	ERR4019216.17753	MT515977.1	100.0	1.7899999999999994e-71	Bacteroides vulgatus	821	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus
>ERR4019216.19245 10317.000094722_19244 length=151 number of reps 14374	ERR4019216.19245	MT464394.1	100.0	1.7899999999999994e-71	Bacteroides dorei	357276	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides dorei
>ERR4019216.24 10317.000094722_23 length=151 number of reps 13173	ERR4019216.24	MT268988.1	100.0	1.7899999999999994e-71	Bacteroides uniformis	820	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
>ERR4018999.6 10317.000071471_5 length=151 number of reps 12471	ERR4018999.6	LR797754.1	100.0	1.7899999999999994e-71	Stenotrophomonas maltophilia	40324	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas maltophilia
>ERR4019216.11 10317.000094722_10 length=151 number of reps 11741	ERR4019216.11	LR654642.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2579667.1020 10317.000044559_1019 length=151 number of reps 11584	ERR2579667.1020	MT464345.1	100.0	1.7899999999999994e-71	Bacteroides thetaiotaomicron	818	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
>ERR4019216.65 10317.000094722_64 length=151 number of reps 11081	ERR4019216.65	MT268985.1	100.0	1.7899999999999994e-71	Bacteroides fragilis	817	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis
>ERR2319347.21821 10317.000058525_21820 length=151 number of reps 10948	ERR2319347.21821	HQ787732.1	100.0	1.7899999999999994e-71	uncultured organism	155900	NaN;NaN;NaN;NaN;NaN;uncultured organism
>ERR1597017.49 10317.000033260_48 length=150 number of reps 10880	ERR1597017.49	MT515977.1	100.0	6.369999999999999e-71	Bacteroides vulgatus	821	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus
>ERR1854712.11 10317.000058423_10 length=150 number of reps 10628	ERR1854712.11	MN474966.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019216.41 10317.000094722_40 length=151 number of reps 10479	ERR4019216.41	MT268987.1	100.0	1.7899999999999994e-71	Bacteroides ovatus	28116	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
>ERR2579667.2011 10317.000044559_2010 length=151 number of reps 10108	ERR2579667.2011	LR797773.1	100.0	1.7899999999999994e-71	Enterobacter ludwigii	299767	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii
>ERR1854712.1140 10317.000058423_1139 length=150 number of reps 9973	ERR1854712.1140	MG858628.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019216.123 10317.000094722_122 length=151 number of reps 9679	ERR4019216.123	MT445090.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019216.3550 10317.000094722_3549 length=151 number of reps 9467	ERR4019216.3550	LC528171.1	100.0	1.7899999999999994e-71	Akkermansia muciniphila	239935	Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
>ERR4019216.3498 10317.000094722_3497 length=151 number of reps 8388	ERR4019216.3498	MT516170.1	100.0	6.429999999999998e-71	Escherichia fergusonii	564	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii
>ERR4019216.4880 10317.000094722_4879 length=151 number of reps 8288	ERR4019216.4880	LR135607.1	100.0	1.7899999999999994e-71	Klebsiella michiganensis	1134687	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella michiganensis
>ERR1841778.1789 10317.000051168_1788 length=150 number of reps 7481	ERR1841778.1789	LR135607.1	100.0	6.369999999999999e-71	Klebsiella michiganensis	1134687	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella michiganensis
