header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR2696999.3 10317.000093103_2 length=151 number of reps 13959	ERR2696999.3	CP038428.1	100.0	1.7799999999999998e-71	Escherichia coli O157:H7	83334	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR2696999.7 10317.000093103_6 length=151 number of reps 10664	ERR2696999.7	MT463733.1	100.0	1.7799999999999998e-71	Bacteroides vulgatus	821	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus
>ERR2303862.875 10317.000059959_874 length=151 number of reps 8394	ERR2303862.875	MN474966.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.10 10317.000093103_9 length=151 number of reps 6499	ERR2696999.10	MT445090.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.9 10317.000093103_8 length=151 number of reps 6162	ERR2696999.9	LR654642.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.295 10317.000093103_294 length=151 number of reps 5552	ERR2696999.295	LR699017.1	100.0	1.7799999999999998e-71	Faecalibacterium prausnitzii	853	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR2696999.18 10317.000093103_17 length=151 number of reps 4560	ERR2696999.18	MT445121.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696668.4 10317.000094611_3 length=151 number of reps 3860	ERR2696668.4	MT464411.1	100.0	1.7799999999999998e-71	Weissella confusa	1583	Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella;Weissella confusa
>ERR2696999.1940 10317.000093103_1939 length=151 number of reps 3514	ERR2696999.1940	MG240816.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.34 10317.000093103_33 length=151 number of reps 3392	ERR2696999.34	CP048437.1	100.0	1.7799999999999998e-71	Faecalibacterium prausnitzii A2-165	411483	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR2696999.359 10317.000093103_358 length=151 number of reps 3183	ERR2696999.359	MN474435.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.225 10317.000093103_224 length=151 number of reps 3163	ERR2696999.225	MT268988.1	100.0	1.7799999999999998e-71	Bacteroides uniformis	820	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
>ERR2696999.1934 10317.000093103_1933 length=151 number of reps 3015	ERR2696999.1934	LC515634.1	100.0	1.7799999999999998e-71	Bacteroides stercoris	46506	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
>ERR2696999.776 10317.000093103_775 length=151 number of reps 2976	ERR2696999.776	MT491082.1	100.0	1.7799999999999998e-71	Bifidobacterium longum	216816	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
>ERR2696999.666 10317.000093103_665 length=151 number of reps 2810	ERR2696999.666	CP027002.1	100.0	1.7799999999999998e-71	[Ruminococcus] gnavus ATCC 29149	411470	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;[Ruminococcus] gnavus
>ERR2696999.49 10317.000093103_48 length=151 number of reps 2754	ERR2696999.49	MT445109.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1842637.332 10317.000062086_331 length=150 number of reps 2655	ERR1842637.332	MT509513.1	100.0	6.3599999999999995e-71	Enterococcus faecium	1352	Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium
>ERR2696999.30 10317.000093103_29 length=151 number of reps 2652	ERR2696999.30	MT464394.1	100.0	1.7799999999999998e-71	Bacteroides dorei	357276	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides dorei
>ERR1842637.65 10317.000062086_64 length=150 number of reps 2541	ERR1842637.65	MT463733.1	100.0	6.3599999999999995e-71	Bacteroides vulgatus	821	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus
>ERR2696999.1067 10317.000093103_1066 length=151 number of reps 2437	ERR2696999.1067	MH761044.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.160 10317.000093103_159 length=151 number of reps 2316	ERR2696999.160	CP048627.1	100.0	1.7799999999999998e-71	Megamonas funiformis	437897	Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis
>ERR2696999.11 10317.000093103_10 length=151 number of reps 2285	ERR2696999.11	KX971318.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2314217.11698 10317.000069002_11697 length=151 number of reps 2285	ERR2314217.11698	LR654832.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2697882.4 10317.000097473_3 length=151 number of reps 2266	ERR2697882.4	LC379132.1	100.0	1.7799999999999998e-71	Stenotrophomonas maltophilia	40324	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas maltophilia
>ERR2696999.227 10317.000093103_226 length=151 number of reps 2065	ERR2696999.227	CP051144.1	100.0	1.7799999999999998e-71	Romboutsia sp. CE17	2724150	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas maltophilia
>ERR2696999.4 10317.000093103_3 length=151 number of reps 2047	ERR2696999.4	CP040902.1	100.0	1.7799999999999998e-71	Longibaculum sp. KGMB06250	2584943	Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Longibaculum;Longibaculum sp. KGMB06250
>ERR2696999.212 10317.000093103_211 length=151 number of reps 2030	ERR2696999.212	CP040518.1	100.0	1.7799999999999998e-71	Blautia sp. SC05B48	2479767	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia sp. SC05B48
>ERR2697882.3 10317.000097473_2 length=151 number of reps 1939	ERR2697882.3	CP052860.1	100.0	1.7799999999999998e-71	Pseudomonas sp. ADAK13	2730847	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia sp. SC05B48
>ERR2697882.10 10317.000097473_9 length=151 number of reps 1927	ERR2697882.10	MT386207.1	100.0	1.7799999999999998e-71	Stenotrophomonas sp.	69392	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas sp.
>ERR4020553.6 10317.000101067_5 length=151 number of reps 1899	ERR4020553.6	MH761357.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.1658 10317.000093103_1657 length=151 number of reps 1884	ERR2696999.1658	LC528172.1	100.0	1.7799999999999998e-71	Anaerostipes hadrus	649756	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus
>ERR2696999.135 10317.000093103_134 length=151 number of reps 1823	ERR2696999.135	MT445141.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
