header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR1160658.8 10317.000032795_7 length=126 number of reps 40177	ERR1160658.8	MT416388.1	100.0	1.1100000000000001e-57	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR1160658.2 10317.000032795_1 length=126 number of reps 31764	ERR1160658.2	LR797773.1	100.0	1.1100000000000001e-57	Enterobacter ludwigii	299767	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii
>ERR2696499.1 10317.000076358_0 length=151 number of reps 27051	ERR2696499.1	CP053042.1	100.0	1.7899999999999994e-71	Proteus cibarius	626774	Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus cibarius
>ERR2405131.484 10317.000082870_483 length=151 number of reps 21701	ERR2405131.484	LC528171.1	100.0	1.7899999999999994e-71	Akkermansia muciniphila	239935	Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
>ERR1079964.43 10317.000013105_42 length=151 number of reps 20738	ERR1079964.43	MT416449.1	100.0	1.7899999999999994e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR1079964.14 10317.000013105_13 length=151 number of reps 14807	ERR1079964.14	MT464394.1	100.0	1.7899999999999994e-71	Bacteroides dorei	357276	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides dorei
>ERR1080303.384 10317.000021280_383 length=151 number of reps 12373	ERR1080303.384	LC515634.1	100.0	1.7899999999999994e-71	Bacteroides stercoris	46506	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
>ERR1458766.2011 10317.000028806_2010 length=150 number of reps 11438	ERR1458766.2011	MT416449.1	100.0	6.369999999999999e-71	Escherichia coli	562	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR1080303.83 10317.000021280_82 length=151 number of reps 9677	ERR1080303.83	MT515977.1	100.0	1.7899999999999994e-71	Bacteroides vulgatus	821	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus
>ERR1080303.3069 10317.000021280_3068 length=150 number of reps 7687	ERR1080303.3069	MN474966.1	100.0	6.369999999999999e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2319745.9113 10317.000050475_9112 length=151 number of reps 6582	ERR2319745.9113	MT268985.1	100.0	1.7899999999999994e-71	Bacteroides fragilis	817	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis
>ERR1079964.38 10317.000013105_37 length=151 number of reps 5969	ERR1079964.38	MT268988.1	100.0	1.7899999999999994e-71	Bacteroides uniformis	820	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
>ERR1160658.10 10317.000032795_9 length=126 number of reps 4598	ERR1160658.10	CP053042.1	100.0	1.1100000000000001e-57	Proteus cibarius	626774	Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus cibarius
>ERR1079964.360 10317.000013105_359 length=151 number of reps 4540	ERR1079964.360	LR654642.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1160658.16 10317.000032795_15 length=126 number of reps 4479	ERR1160658.16	MT516160.1	100.0	1.1100000000000001e-57	Enterococcus faecium	1352	Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium
>ERR1079964.4 10317.000013105_3 length=151 number of reps 3933	ERR1079964.4	CP048437.1	100.0	1.7899999999999994e-71	Faecalibacterium prausnitzii A2-165	411483	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR1080303.1030 10317.000021280_1029 length=151 number of reps 3837	ERR1080303.1030	MN326670.1	100.0	1.7899999999999994e-71	Bacteroides caccae	47678	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae
