header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR2092007.1 10317.000062984_0 length=150 number of reps 52563	ERR2092007.1	CP038428.1	100.0	6.3599999999999995e-71	Escherichia coli O157:H7	83334	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR2404967.10238 10317.000072390_10237 length=151 number of reps 34907	ERR2404967.10238	MT225834.1	100.0	1.7799999999999998e-71	Pseudomonas psychrophila	122355	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas psychrophila
>ERR4019336.6481 10317.000107973_6480 length=151 number of reps 32845	ERR4019336.6481	CP038428.1	100.0	1.7799999999999998e-71	Escherichia coli O157:H7	83334	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
>ERR4019336.5 10317.000107973_4 length=151 number of reps 26963	ERR4019336.5	MT463733.1	100.0	1.7799999999999998e-71	Bacteroides vulgatus	821	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus
>ERR2092007.3414 10317.000062984_3413 length=150 number of reps 15091	ERR2092007.3414	MT463733.1	100.0	6.3599999999999995e-71	Bacteroides vulgatus	821	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus
>ERR2032574.4 10317.000039622_3 length=150 number of reps 11660	ERR2032574.4	MT464394.1	100.0	6.3599999999999995e-71	Bacteroides dorei	357276	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides dorei
>ERR2092007.4714 10317.000062984_4713 length=150 number of reps 10387	ERR2092007.4714	CP048437.1	100.0	6.3599999999999995e-71	Faecalibacterium prausnitzii A2-165	411483	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
>ERR4019336.2 10317.000107973_1 length=151 number of reps 10204	ERR4019336.2	MN474966.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR1843798.1 10317.000052259_0 length=150 number of reps 9857	ERR1843798.1	MT505138.1	100.0	6.3599999999999995e-71	Morganella sp. (in: Bacteria)	1912315	Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella sp. (in: Bacteria)
>ERR2092007.7624 10317.000062984_7623 length=150 number of reps 8992	ERR2092007.7624	MT268988.1	100.0	6.3599999999999995e-71	Bacteroides uniformis	820	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
>ERR4019336.133 10317.000107973_132 length=151 number of reps 8203	ERR4019336.133	MT268988.1	100.0	1.7799999999999998e-71	Bacteroides uniformis	820	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
>ERR2092007.21301 10317.000062984_21300 length=150 number of reps 7612	ERR2092007.21301	MT268987.1	100.0	6.3599999999999995e-71	Bacteroides ovatus	28116	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
>ERR2313983.3 10317.000040070_2 length=151 number of reps 5549	ERR2313983.3	CP053398.1	100.0	1.7799999999999998e-71	Serratia plymuthica	82996	Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia plymuthica
>ERR4019336.1 10317.000107973_0 length=151 number of reps 5515	ERR4019336.1	LR654642.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR4019336.53 10317.000107973_52 length=151 number of reps 5018	ERR4019336.53	MN081733.1	100.0	1.7799999999999998e-71	Bacteroides sartorii	671267	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii
>ERR4019336.85 10317.000107973_84 length=151 number of reps 4880	ERR4019336.85	MT464345.1	100.0	1.7799999999999998e-71	Bacteroides thetaiotaomicron	818	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
>ERR4019336.23 10317.000107973_22 length=151 number of reps 4858	ERR4019336.23	MT445090.1	100.0	1.7799999999999998e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
