header	seqid	accession	identity	evalue	sciname	taxids	taxonomy
>ERR2696999.3 10317.000093103_2 length=151 number of reps 90538	ERR2696999.3				uncultured bacterium		
>ERR2696999.3571 10317.000093103_3570 length=151 number of reps 32568	ERR2696999.3571				uncultured bacterium		
>ERR2696475.29 10317.000075933_28 length=151 number of reps 20507	ERR2696475.29				uncultured bacterium		
>ERR2696999.7 10317.000093103_6 length=151 number of reps 19707	ERR2696999.7				uncultured bacterium		
>ERR2696999.9 10317.000093103_8 length=151 number of reps 12651	ERR2696999.9				uncultured bacterium		
>ERR2696999.10 10317.000093103_9 length=151 number of reps 11094	ERR2696999.10				uncultured bacterium		
>ERR2696999.34 10317.000093103_33 length=151 number of reps 9086	ERR2696999.34				uncultured bacterium		
>ERR2696475.3 10317.000075933_2 length=151 number of reps 8474	ERR2696475.3				uncultured bacterium		
>ERR2033470.4 10317.000068175_3 length=150 number of reps 7401	ERR2033470.4				uncultured bacterium		
>ERR1842802.18874 10317.000050274_18873 length=150 number of reps 7120	ERR1842802.18874				uncultured bacterium		
>ERR1842802.12 10317.000050274_11 length=150 number of reps 7086	ERR1842802.12				uncultured bacterium		
>ERR2033470.20 10317.000068175_19 length=150 number of reps 6868	ERR2033470.20				uncultured bacterium		
>ERR2523964.1 10317.000076672_0 length=151 number of reps 6755	ERR2523964.1				uncultured bacterium		
>ERR2033470.161 10317.000068175_160 length=150 number of reps 6306	ERR2033470.161				uncultured bacterium		
>ERR2696999.1934 10317.000093103_1933 length=151 number of reps 5964	ERR2696999.1934				uncultured bacterium		
>ERR2696999.69 10317.000093103_68 length=151 number of reps 5846	ERR2696999.69				uncultured bacterium		
>ERR1842802.332 10317.000050274_331 length=150 number of reps 5708	ERR1842802.332				uncultured bacterium		
>ERR1842802.3181 10317.000050274_3180 length=150 number of reps 5650	ERR1842802.3181				uncultured bacterium		
>ERR2697882.58 10317.000097473_57 length=151 number of reps 5138	ERR2697882.58				uncultured bacterium		
>ERR2696999.225 10317.000093103_224 length=151 number of reps 4948	ERR2696999.225				uncultured bacterium		
>ERR2033470.80 10317.000068175_79 length=150 number of reps 4640	ERR2033470.80				uncultured bacterium		
>ERR2696999.295 10317.000093103_294 length=151 number of reps 3961	ERR2696999.295				uncultured bacterium		
>ERR2033469.13171 10317.000068174_13170 length=150 number of reps 3941	ERR2033469.13171				uncultured bacterium		
>ERR2313969.13 10317.000038160_12 length=151 number of reps 3401	ERR2313969.13				uncultured bacterium		
>ERR2696999.1067 10317.000093103_1066 length=151 number of reps 3398	ERR2696999.1067				uncultured bacterium		
>ERR2696999.49 10317.000093103_48 length=151 number of reps 3278	ERR2696999.49				uncultured bacterium		
>ERR4019071.10995 10317.000074586_10994 length=150 number of reps 3160	ERR4019071.10995				uncultured bacterium		
>ERR2696999.239 10317.000093103_238 length=151 number of reps 3051	ERR2696999.239				uncultured bacterium		
>ERR1389836.17 10317.000038305_16 length=150 number of reps 2987	ERR1389836.17				uncultured bacterium		
>ERR2033470.18 10317.000068175_17 length=150 number of reps 2866	ERR2033470.18				uncultured bacterium		
>ERR2696443.6194 10317.000058971_6193 length=151 number of reps 2864	ERR2696443.6194				uncultured bacterium		
>ERR2696999.6 10317.000093103_5 length=151 number of reps 2764	ERR2696999.6				uncultured bacterium		
>ERR2696999.1973 10317.000093103_1972 length=151 number of reps 2498	ERR2696999.1973				uncultured bacterium		
>ERR2696999.27355 10317.000093103_27354 length=151 number of reps 2464	ERR2696999.27355				uncultured bacterium		
>ERR4019312.13222 10317.000107269_13221 length=151 number of reps 2462	ERR4019312.13222				uncultured bacterium		
>ERR2696999.160 10317.000093103_159 length=151 number of reps 2460	ERR2696999.160				uncultured bacterium		
>ERR2696475.7243 10317.000075933_7242 length=151 number of reps 2419	ERR2696475.7243				uncultured bacterium		
>ERR1842802.34 10317.000050274_33 length=150 number of reps 2322	ERR1842802.34				uncultured bacterium		
>ERR2033470.55 10317.000068175_54 length=150 number of reps 2305	ERR2033470.55				uncultured bacterium		
>ERR2696999.11 10317.000093103_10 length=151 number of reps 2285	ERR2696999.11				uncultured bacterium		
>ERR2697882.4 10317.000097473_3 length=151 number of reps 2268	ERR2697882.4				uncultured bacterium		
>ERR2696999.212 10317.000093103_211 length=151 number of reps 2255	ERR2696999.212				uncultured bacterium		
>ERR1842802.13634 10317.000050274_13633 length=150 number of reps 2108	ERR1842802.13634				uncultured bacterium		
>ERR2697882.10 10317.000097473_9 length=151 number of reps 2103	ERR2697882.10				uncultured bacterium		
>ERR2696999.66 10317.000093103_65 length=151 number of reps 2103	ERR2696999.66				uncultured bacterium		
>ERR1389836.1 10317.000038305_0 length=150 number of reps 2006	ERR1389836.1				uncultured bacterium		
>ERR4019312.7392 10317.000107269_7391 length=151 number of reps 1969	ERR4019312.7392				uncultured bacterium		
>ERR1842802.19 10317.000050274_18 length=150 number of reps 1967	ERR1842802.19				uncultured bacterium		
>ERR2696999.4 10317.000093103_3 length=151 number of reps 1959	ERR2696999.4				uncultured bacterium		
>ERR2696999.874 10317.000093103_873 length=151 number of reps 1941	ERR2696999.874				uncultured bacterium		
>ERR2697882.3 10317.000097473_2 length=151 number of reps 1939	ERR2697882.3				uncultured bacterium		
>ERR2696999.127 10317.000093103_126 length=151 number of reps 1930	ERR2696999.127				uncultured bacterium		
>ERR2696999.5435 10317.000093103_5434 length=151 number of reps 1909	ERR2696999.5435				uncultured bacterium		
>ERR2523964.2 10317.000076672_1 length=151 number of reps 1901	ERR2523964.2				uncultured bacterium		
>ERR4020553.6 10317.000101067_5 length=151 number of reps 1899	ERR4020553.6				uncultured bacterium		
>ERR2696999.14147 10317.000093103_14146 length=151 number of reps 1872	ERR2696999.14147				uncultured bacterium		
>ERR4018975.14031 10317.000069197_14030 length=151 number of reps 1864	ERR4018975.14031				uncultured bacterium		
>ERR2696999.2427 10317.000093103_2426 length=151 number of reps 1851	ERR2696999.2427				uncultured bacterium		
>ERR4019312.5936 10317.000107269_5935 length=151 number of reps 1849	ERR4019312.5936				uncultured bacterium		
>ERR2696999.30 10317.000093103_29 length=151 number of reps 1819	ERR2696999.30				uncultured bacterium		
>ERR1842802.429 10317.000050274_428 length=150 number of reps 1776	ERR1842802.429				uncultured bacterium		
>ERR4019312.115 10317.000107269_114 length=151 number of reps 1761	ERR4019312.115				uncultured bacterium		
>ERR2696999.135 10317.000093103_134 length=151 number of reps 1744	ERR2696999.135				uncultured bacterium		
>ERR2696999.23 10317.000093103_22 length=151 number of reps 1740	ERR2696999.23				uncultured bacterium		
>ERR1417508.216 10317.000033063_215 length=150 number of reps 1739	ERR1417508.216				uncultured bacterium		
>ERR2696999.1127 10317.000093103_1126 length=151 number of reps 1683	ERR2696999.1127				uncultured bacterium		
>ERR4019312.488 10317.000107269_487 length=151 number of reps 1656	ERR4019312.488				uncultured bacterium		
>ERR2696999.508 10317.000093103_507 length=151 number of reps 1642	ERR2696999.508	MH761663.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
>ERR2696999.329 10317.000093103_328 length=151 number of reps 1642	ERR2696999.329	MH570136.1	100.0	1.7899999999999994e-71	uncultured Bacteroides sp.	162156	Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.
>ERR2696999.776 10317.000093103_775 length=151 number of reps 1632	ERR2696999.776	MT491082.1	100.0	1.7899999999999994e-71	Bifidobacterium longum	216816	Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
>ERR2696999.89 10317.000093103_88 length=151 number of reps 1606	ERR2696999.89	MK274923.1	100.0	1.7899999999999994e-71	uncultured bacterium	77133	NaN;NaN;NaN;NaN;NaN;uncultured bacterium
